subject_id,group,p,scenario,channel_set,n_channels,channels,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,status,error,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path
subj_055,benchmark,20,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.4,0.2119205298013245,1368.0,274.0,2930.0,162.0,32.0,346.0,1.0,0.6966150163734046,11.0,0.5563578222588093,0.12627986348122866,0.21182266009852216,0.11853893866299105,0.9942196531791907,0.016096606270341287,ch7__benchmark__subj_055__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_055__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_055__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_055,benchmark,40,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.4,0.2562929061784897,2736.0,548.0,2930.0,324.0,65.0,346.0,1.0,0.6812906787343269,11.0,0.5546303172927218,0.42184300341296926,0.21646623496762257,0.1288546255506608,0.6763005780346821,0.0006419232460098819,ch7__benchmark__subj_055__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_055__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_055__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_055,benchmark,60,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.4,0.33451957295373663,4102.0,821.0,2930.0,485.0,97.0,346.0,4.0,0.7112665821080086,14.0,0.6758856189266093,0.7856655290102389,0.3203463203463203,0.2560553633217993,0.4277456647398844,0.19042892199316938,ch7__benchmark__subj_055__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_055__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_055__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_055,benchmark,100,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.395,0.5096525096525096,6838.0,1368.0,2930.0,809.0,162.0,346.0,6.0,0.4366157746802994,16.0,0.804016267291827,0.7733788395904437,0.4144620811287478,0.2982233502538071,0.6791907514450867,0.7262754224719984,ch7__benchmark__subj_055__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_055__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_055__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_056,benchmark,0,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,,,error,"ValueError('Channel mismatch: X has C=7, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_056,benchmark,10,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.20809248554913296,772.0,155.0,3309.0,91.0,18.0,388.0,1.0,0.6948229647451831,11.0,0.4877857463021067,0.11725596857056513,0.20989991885312415,0.11725596857056513,1.0,0.0005926786130373564,ch7__benchmark__subj_056__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_056__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_056__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_056,benchmark,20,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.20869565217391303,1545.0,309.0,3309.0,182.0,36.0,388.0,1.0,0.7262443846097656,11.0,0.5017382127995992,0.11725596857056513,0.20989991885312415,0.11725596857056513,1.0,3.464392509037825e-06,ch7__benchmark__subj_056__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_056__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_056__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_056,benchmark,40,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.315,0.21565731166912852,3089.0,618.0,3309.0,364.0,73.0,388.0,1.0,0.694830709290736,11.0,0.5187929920906906,0.1937141130250831,0.2111176818450621,0.11923847695390781,0.9201030927835051,0.00086352474511988,ch7__benchmark__subj_056__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_056__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_056__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_056,benchmark,60,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.38,0.21351616062683643,4633.0,927.0,3309.0,545.0,109.0,388.0,2.0,0.6982187884653784,12.0,0.5057647783381627,0.14475672408582654,0.20949720670391062,0.1174812030075188,0.9664948453608248,0.00024039161233279025,ch7__benchmark__subj_056__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_056__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_056__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_056,benchmark,100,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.385,0.2821576763485477,7722.0,1545.0,3309.0,909.0,182.0,388.0,9.0,0.6456535371761878,19.0,0.5984128440690768,0.5058930190389845,0.23776223776223776,0.14513375071143997,0.6572164948453608,0.07436417788932348,ch7__benchmark__subj_056__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_056__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_056__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
