subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint
subj_081,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.395,0.36486486486486486,9502,1901,4071,1058,212,453,4,0.5458268438245922,14,0.8273716040840683,0.7187423237533775,0.38274932614555257,0.25320970042796004,0.7836644591611479,0.9113347409774152,benchmark__subj_081__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_082,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.28493150684931506,9462,1893,4055,1054,211,451,2,0.6172226386226426,12,0.7071417321478229,0.5672009864364982,0.27268959801077497,0.16768603465851173,0.729490022172949,0.3067658046608809,benchmark__subj_082__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_083,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.21701936064835659,13034,2607,5586,1450,290,620,3,0.6914244633000795,13,0.5758054772452679,0.3793412101682778,0.21150784625881283,0.12311358220810167,0.75,0.03358533379037927,benchmark__subj_083__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_084,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.3239171374764595,9943,1989,4261,1106,221,470,2,0.580760812942199,12,0.7295885552007274,0.6050222952358602,0.29493087557603687,0.18362023995826812,0.7489361702127659,0.34435598023061453,benchmark__subj_084__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_085,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.29642545771578027,10748,2150,4606,1191,238,512,2,0.596381084364514,12,0.629513560240596,0.5996526270082501,0.24177631578947367,0.153125,0.57421875,0.10961428067800279,benchmark__subj_085__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_086,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.18230563002680966,5152,1031,2208,425,85,184,2,0.6748614890499096,12,0.650954846193504,0.38722826086956524,0.1724770642201835,0.09717436250861475,0.7663043478260869,0.16842719875942327,benchmark__subj_086__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_087,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.35,0.1533406352683461,4226,846,1811,351,70,151,1,0.6908288424742137,11,0.48904093193967924,0.08503589177250138,0.15416028586013272,0.08351769911504425,1.0,0.0001327786139116127,benchmark__subj_087__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_088,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.3,0.15991692627206647,4778,956,2047,396,79,170,2,0.684571292859241,12,0.6889654956281925,0.17244748412310698,0.16386969397828233,0.0894396551724138,0.9764705882352941,0.24790833460530393,benchmark__subj_088__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_089,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.21428571428571427,4781,957,2048,393,79,171,4,0.6670484187834689,14,0.6481164730330533,0.51806640625,0.19164619164619165,0.11142857142857143,0.6842105263157895,0.12231626336817276,benchmark__subj_089__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_091,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.385,0.15299877600979192,7558,1512,3238,625,125,270,1,0.6994883320318959,11,0.5258223520015972,0.08338480543545398,0.15393386545039908,0.08338480543545398,1.0,0.0043885856902644614,benchmark__subj_091__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
