subject_id,p,channel_set,auc,f1,accuracy,precision,recall,fdr
subj_126,60,ch7,0.5057404238010718,0.3399818676337262,0.2408759124087591,0.2075837254359258,0.9386733416770964,8.956015788040268e-06
subj_126,100,ch7,0.5175596100327913,0.3479812625474013,0.2380083420229405,0.2117263843648208,0.9762202753441802,0.0026642500773879
subj_127,10,ch7,0.4855529459700799,0.4,0.25,0.25,1.0,0.0011413083711049
subj_127,20,ch7,0.4872641001817948,0.4,0.25,0.25,1.0,0.00084885243251
subj_127,40,ch7,0.5062157697277679,0.3884550084889643,0.293171114599686,0.2478336221837088,0.8979591836734694,5.699957374117123e-05
subj_127,60,ch7,0.7222401579880836,0.5027932960893855,0.7205651491365777,0.4528301886792453,0.565149136577708,0.3326222554802346
subj_127,100,ch7,0.7675187935335951,0.5266075388026608,0.6648351648351648,0.4070265638389032,0.7456828885400314,0.5078737594483813
subj_128,10,ch7,0.51980475395593,0.3358552631578947,0.2018185412136786,0.2018185412136786,1.0,0.000491964492808
subj_128,20,ch7,0.5265869198539439,0.3359207266721717,0.2051788891085194,0.202026221692491,0.9960822722820764,0.0029727021834351
subj_128,40,ch7,0.5533046974409127,0.3422481399557611,0.3534295315279699,0.215334008097166,0.8334965719882468,0.0153973678910114
subj_128,60,ch7,0.5663731281522888,0.3444256439180297,0.3107333465111682,0.21312238250349,0.8971596474045054,0.0215801859621374
subj_128,100,ch7,0.5765566248940647,0.3569585070478459,0.3597548922711998,0.2238545816733067,0.8805093046033301,0.0443737018363012
subj_129,10,ch7,0.498579751174985,0.3666906647468202,0.2245077872465471,0.2245077872465471,1.0,0.00020977827005
subj_129,20,ch7,0.5045724721207661,0.3645443196004994,0.25213047311196,0.2252391237272446,0.9554973821989527,0.0001058457632336
subj_129,40,ch7,0.4973197050286778,0.3666906647468202,0.2245077872465471,0.2245077872465471,1.0,0.0001394237494668
subj_129,60,ch7,0.5240115544322079,0.3674160019337684,0.2309726711724948,0.2253187073821524,0.9947643979057592,0.0036270168849934
subj_129,100,ch7,0.5627138928953337,0.3717706364209199,0.4140464296209227,0.2448132780082987,0.7722513089005235,0.0253833113468055
subj_130,10,ch7,0.4969695671647623,0.4,0.25,0.25,1.0,1.6790183095303544e-05
subj_130,20,ch7,0.5061506701897093,0.4,0.25,0.25,1.0,0.0002098207953504
subj_130,40,ch7,0.5157665172680188,0.3788409179307662,0.4005255255255255,0.2556430446194225,0.7312312312312312,0.0027439786747536
subj_130,60,ch7,0.4988441895348802,0.4,0.2668918918918919,0.2514484356894554,0.9774774774774776,0.000694085585447
subj_130,100,ch7,0.5150762624486348,0.3996333638863428,0.2623873873873873,0.2508630609896433,0.981981981981982,0.0017532571732828
subj_131,10,ch7,0.5026977782110862,0.3504330446369087,0.2124394184168012,0.2124394184168012,1.0,0.0008155935108489
subj_131,20,ch7,0.4878138507035845,0.3504330446369087,0.2124394184168012,0.2124394184168012,1.0,3.7438904929368456e-06
